Edition,Reference,Reference in Index
LXX,Dn:5:16,https://pta.bbaw.de/biblical-reference/Dn:5:16
LXX,Dn:5:17,https://pta.bbaw.de/biblical-reference/Dn:5:17
LXX,Dn:5:18,https://pta.bbaw.de/biblical-reference/Dn:5:18
LXX,Dn:5:18-Dn:5:19,https://pta.bbaw.de/biblical-reference/Dn:5:18-Dn:5:19
LXX,Dn:5:19,https://pta.bbaw.de/biblical-reference/Dn:5:19
LXX,Dn:5:2,https://pta.bbaw.de/biblical-reference/Dn:5:2
LXX,Dn:5:20,https://pta.bbaw.de/biblical-reference/Dn:5:20
LXX,Dn:5:21,https://pta.bbaw.de/biblical-reference/Dn:5:21
LXX,Dn:5:22,https://pta.bbaw.de/biblical-reference/Dn:5:22
LXX,Dn:5:22-Dn:5:28,https://pta.bbaw.de/biblical-reference/Dn:5:22-Dn:5:28
LXX,Dn:5:23,https://pta.bbaw.de/biblical-reference/Dn:5:23
LXX,Dn:5:24,https://pta.bbaw.de/biblical-reference/Dn:5:24
LXX,Dn:5:25-Dn:5:26,https://pta.bbaw.de/biblical-reference/Dn:5:25-Dn:5:26
LXX,Dn:5:26,https://pta.bbaw.de/biblical-reference/Dn:5:26
LXX,Dn:5:27,https://pta.bbaw.de/biblical-reference/Dn:5:27
LXX,Dn:5:28,https://pta.bbaw.de/biblical-reference/Dn:5:28
LXX,Dn:5:3,https://pta.bbaw.de/biblical-reference/Dn:5:3
LXX,Dn:5:30,https://pta.bbaw.de/biblical-reference/Dn:5:30
LXX,Dn:5:4,https://pta.bbaw.de/biblical-reference/Dn:5:4
LXX,Dn:5:5,https://pta.bbaw.de/biblical-reference/Dn:5:5
LXX,Dn:5:5,https://pta.bbaw.de/biblical-reference/Dn:5:5
LXX,Dn:5:25,https://pta.bbaw.de/biblical-reference/Dn:5:5
LXX,Dn:5:5,https://pta.bbaw.de/biblical-reference/Dn:5:25
LXX,Dn:5:25,https://pta.bbaw.de/biblical-reference/Dn:5:25
LXX,Dn:5:6,https://pta.bbaw.de/biblical-reference/Dn:5:6
LXX,Dn:5:7,https://pta.bbaw.de/biblical-reference/Dn:5:7
LXX,Dn:5:7-Dn:5:16,https://pta.bbaw.de/biblical-reference/Dn:5:7-Dn:5:16
