Quotation-URL,Edition,Reference
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b36,LXX,Dn:1:12-Dn:1:13
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b38,LXX,Dn:1:14-Dn:1:15
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b39,LXX,Dn:1:16
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b40,LXX,Dn:1:17
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b41,LXX,Dn:1:17
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b42,LXX,Dn:1:17
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b44,LXX,Dn:1:18-Dn:1:20
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b20,LXX,Dn:1:2
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b21,LXX,Dn:1:2
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b23,LXX,Dn:1:2
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b45,LXX,Dn:1:21
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b49,LXX,Dn:1:21
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b27,LXX,Dn:1:3-Dn:1:4
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b29,LXX,Dn:1:5-Dn:1:6
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b30,LXX,Dn:1:7
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b31,LXX,Dn:1:8
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b32,LXX,Dn:1:9
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b50,LXX,Dn:2:1
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b52,LXX,Dn:2:1
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b53,LXX,Dn:2:1-Dn:2:2
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b59,LXX,Dn:2:10-Dn:2:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b60,LXX,Dn:2:12-Dn:2:13
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b61,LXX,Dn:2:15
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b62,LXX,Dn:2:17-Dn:2:18
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b63,LXX,Dn:2:19-Dn:2:22
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b64,LXX,Dn:2:23
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b65,LXX,Dn:2:24
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b66,LXX,Dn:2:25
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b67,LXX,Dn:2:26
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b68,LXX,Dn:2:27-Dn:2:28
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b69,LXX,Dn:2:28
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b70,LXX,Dn:2:28
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b71,LXX,Dn:2:28
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b72,LXX,Dn:2:29
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b73,LXX,Dn:2:30
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b74,LXX,Dn:2:31-Dn:2:33
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b81,LXX,Dn:2:34-Dn:2:35
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b91,LXX,Dn:2:36-Dn:2:37
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b92,LXX,Dn:2:37
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b75,LXX,Dn:2:38
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b93,LXX,Dn:2:38
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b95,LXX,Dn:2:39
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b96,LXX,Dn:2:39
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b97,LXX,Dn:2:39
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b98,LXX,Dn:2:40
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b99,LXX,Dn:2:41
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b100,LXX,Dn:2:41-Dn:2:42
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b101,LXX,Dn:2:43
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b102,LXX,Dn:2:43
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b103,LXX,Dn:2:44
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b105,LXX,Dn:2:44
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b104,LXX,Dn:2:44-Dn:2:45
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b106,LXX,Dn:2:45
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b107,LXX,Dn:2:46
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b109,LXX,Dn:2:47
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b110,LXX,Dn:2:47
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b112,LXX,Dn:2:48
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b115,LXX,Dn:2:49
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b56,LXX,Dn:2:5-Dn:2:6
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b58,LXX,Dn:2:8-Dn:2:9
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b117,LXX,Dn:3:1
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b204,LXX,Dn:3:1
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b221,LXX,Dn:3:1
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b123,LXX,Dn:3:12
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta041.pta-grc1:b72,LXX,Dn:3:13-Dn:3:21
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta049.pta-grc1:b9,LXX,Dn:3:14
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta037.pta-grc1:b73,LXX,Dn:3:15
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta037.pta-grc1:b77,LXX,Dn:3:15
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta049.pta-grc1:b10,LXX,Dn:3:15
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta049.pta-grc1:b11,LXX,Dn:3:15
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta049.pta-grc1:b12,LXX,Dn:3:15
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta049.pta-grc1:b13,LXX,Dn:3:15
